Designator,Mid X,Mid Y,Layer,Rotation
D1299,5.6,-33.948195,top,120
D13,-16.8,0,top,120
D130,-50.4,-2.424871,top,120
D1300,4.2,-33.948195,top,120
D1301,2.8,-33.948195,top,120
D1302,1.4,-33.948195,top,120
D1303,0,-33.948195,top,120
D1304,-1.4,-33.948195,top,120
D1305,-2.8,-33.948195,top,120
D1306,-4.2,-33.948195,top,120
D1307,-5.6,-33.948195,top,120
D1308,-7,-33.948195,top,120
D1309,-8.4,-33.948195,top,120
D131,-51.8,-2.424871,top,120
D1310,-9.8,-33.948195,top,120
D1311,-11.2,-33.948195,top,120
D1312,-12.6,-33.948195,top,120
D1313,-14,-33.948195,top,120
D1314,-15.4,-33.948195,top,120
D1315,-16.8,-33.948195,top,120
D1316,-18.2,-33.948195,top,120
D1317,-19.6,-33.948195,top,120
D1318,-21,-33.948195,top,120
D1319,-22.4,-33.948195,top,120
D132,-53.2,-2.424871,top,120
D1320,-23.8,-33.948195,top,120
D1321,-25.2,-33.948195,top,120
D1322,-26.6,-33.948195,top,120
D1323,-28,-33.948195,top,120
D1324,-29.4,-33.948195,top,120
D1325,-30.8,-33.948195,top,120
D1326,-32.2,-33.948195,top,120
D1327,-33.6,-33.948195,top,120
D1328,-35,-33.948195,top,120
D1329,-36.4,-33.948195,top,120
D133,-54.6,-2.424871,top,120
D1330,-37.8,-33.948195,top,120
D1331,-39.2,-33.948195,top,120
D1332,-40.6,-33.948195,top,120
D1333,-42,-33.948195,top,120
D1334,-43.4,-33.948195,top,120
D1335,20.3,-35.160631,top,120
D1336,18.9,-35.160631,top,120
D1337,17.5,-35.160631,top,120
D1338,16.1,-35.160631,top,120
D1339,14.7,-35.160631,top,120
D134,-56,-2.424871,top,120
D1340,13.3,-35.160631,top,120
D1341,11.9,-35.160631,top,120
D1342,10.5,-35.160631,top,120
D1343,9.1,-35.160631,top,120
D1344,7.7,-35.160631,top,120
D1345,6.3,-35.160631,top,120
D1346,4.9,-35.160631,top,120
D1347,3.5,-35.160631,top,120
D1348,2.1,-35.160631,top,120
D1349,0.7,-35.160631,top,120
D135,-57.4,-2.424871,top,120
D1350,-0.7,-35.160631,top,120
D1351,-2.1,-35.160631,top,120
D1352,-3.5,-35.160631,top,120
D1353,-4.9,-35.160631,top,120
D1354,-6.3,-35.160631,top,120
D1355,-7.7,-35.160631,top,120
D1356,-9.1,-35.160631,top,120
D1357,-10.5,-35.160631,top,120
D1358,-11.9,-35.160631,top,120
D1359,-13.3,-35.160631,top,120
D136,-58.8,-2.424871,top,120
D1360,-14.7,-35.160631,top,120
D1361,-16.1,-35.160631,top,120
D1362,-17.5,-35.160631,top,120
D1363,-18.9,-35.160631,top,120
D1364,-20.3,-35.160631,top,120
D1365,-21.7,-35.160631,top,120
D1366,-23.1,-35.160631,top,120
D1367,-24.5,-35.160631,top,120
D1368,-25.9,-35.160631,top,120
D1369,-27.3,-35.160631,top,120
D137,-60.2,-2.424871,top,120
D1370,-28.7,-35.160631,top,120
D1371,-30.1,-35.160631,top,120
D1372,-31.5,-35.160631,top,120
D1373,-32.9,-35.160631,top,120
D1374,-34.3,-35.160631,top,120
D1375,-35.7,-35.160631,top,120
D1376,-37.1,-35.160631,top,120
D1377,-38.5,-35.160631,top,120
D1378,-39.9,-35.160631,top,120
D1379,-41.3,-35.160631,top,120
D138,-61.6,-2.424871,top,120
D1380,-42.7,-35.160631,top,120
D1381,21,-36.373066,top,120
D1382,19.6,-36.373066,top,120
D1383,18.2,-36.373066,top,120
D1384,16.8,-36.373066,top,120
D1385,15.4,-36.373066,top,120
D1386,14,-36.373066,top,120
D1387,12.6,-36.373066,top,120
D1388,11.2,-36.373066,top,120
D1389,9.8,-36.373066,top,120
D139,2.1,-3.637306,top,120
D1390,8.4,-36.373066,top,120
D1391,7,-36.373066,top,120
D1392,5.6,-36.373066,top,120
D1393,4.2,-36.373066,top,120
D1394,2.8,-36.373066,top,120
D1395,1.4,-36.373066,top,120
D1396,0,-36.373066,top,120
D1397,-1.4,-36.373066,top,120
D1398,-2.8,-36.373066,top,120
D1399,-4.2,-36.373066,top,120
D14,-18.2,0,top,120
D140,0.7,-3.637306,top,120
